,index,Released,English title,TMDB_id
0,0,2014-01-10,"Wake Up, Girls! – Seven Idols",249766
1,2,2014-01-24,Genome Hazard,280612
2,3,2014-01-25,The Idolmaster Movie: Beyond the Brilliant Future!,297188
3,4,2014-01-25,The Little House,254679
4,5,2014-02-01,Haganai,283972
5,6,2014-02-01,I Just Wanna Hug You,292264
6,7,2014-02-08,Buddha 2,239526
7,8,2014-02-08,Tiger & Bunny: The Rising,258807
8,10,2014-02-08,The Tale of Nishino,298056
9,12,2014-02-22,Girl's Blood,278540
10,13,2014-02-22,Giovanni's Island,239367
11,14,2014-02-22,Kamen Teacher,438519
12,15,2014-03-01,Kiki's Delivery Service,252391
13,16,2014-03-01,Love's Whirlpool,279185
14,17,2014-03-07,Silver Spoon,297825
15,18,2014-03-08,Doraemon: New Nobita's Great Demon—Peko and the Exploration Party of Five,285812
16,19,2014-03-08,Puzzle,278545
17,22,2014-03-15,Sekai-ichi Hatsukoi: Yokozawa Takafumi no Baai,448441
18,24,2014-03-29,The Snow White Murder Case,253454
19,2,2014-04-12,L DK,297755
20,6,2014-04-26,Thermae Romae II,268002
21,8,2014-05-10,Wood Job!,274817
22,10,2014-05-17,Flower and Snake: Zero,292777
23,11,2014-05-17,"Recently, My Sister Is Unusual",297021
24,12,2014-05-23,Kotodama – Spiritual Curse,402257
25,13,2014-05-24,A Bolt from the Blue,319171
26,14,2014-05-24,Kikaider Reboot,267046
27,17,2014-06-07,Jossy's,254304
28,18,2014-06-07,"Persona 3 The Movie: No. 2, Midsummer Knight's Dream",297189
29,19,2014-06-14,Climbing to Spring,311029
30,21,2014-06-14,Sweet Poolside,277689
31,22,2014-06-14,My Hawaiian Discovery,290229
32,23,2014-06-21,Samurai Hustle,279049
33,24,2014-06-21,Saint Seiya: Legend of Sanctuary,287590
34,25,2014-06-28,Gaki Rock,434712
35,26,2014-06-28,Doreiku: Tokyo Slaves,313263
36,27,2014-06-28,Ju-On: The Beginning of the End,259233
37,1,2014-07-04,The World of Kanako,251981
38,2,2014-07-12,Say I Love You,277806
39,3,2014-07-12,K: Missing Kings,271708
40,4,2014-07-19,Pokémon the Movie: Diancie and the Cocoon of Destruction,303903
41,5,2014-07-19,The Torture Club,297090
42,6,2014-07-19,When Marnie Was There,242828
43,8,2014-08-01,Rurouni Kenshin: Kyoto Inferno,221731
44,9,2014-08-08,Stand by Me Doraemon,265712
45,11,2014-08-16,Hot Road,300892
46,13,2014-08-23,Over Your Dead Body,199925
47,14,2014-08-30,Little Forest,294682
48,15,2014-08-30,Lupin the 3rd (film),241868
49,16,2014-09-06,A Record of Sweet Murder,291492
50,17,2014-09-06,Sister Game,283572
51,18,2014-09-13,Rurouni Kenshin: The Legend Ends,221732
52,19,2014-09-13,Lady Maiko,295709
53,20,2014-09-13,Cardfight!! Vanguard: The Movie,287098
54,21,2014-09-20,Snow on the Blades,295715
55,23,2014-09-27,Mother,324375
56,0,2014-10-04,A Samurai Chronicle,321193
57,1,2014-10-11,Close Range Love,300823
58,3,2014-10-18,Tada's Do-It-All House: Disconcerto,290102
59,4,2014-10-25,"Oh Brother, Oh Sister!",329699
60,6,2014-11-01,Clover,341041
61,7,2014-11-08,0.5 mm,279186
62,8,2014-11-08,Twilight: Saya in Sasara,317221
63,9,2014-11-15,Expelled from Paradise,304023
64,10,2014-11-15,As the Gods Will,241863
65,12,2014-11-22,Hibi Rock,287091
66,13,2014-11-22,Miracle: Devil Claus' Love and Magic,290228
67,14,2014-11-29,Parasyte: Part 1,282069
68,15,2014-12-06,Space Battleship Yamato 2199: Odyssey of the Celestial Ark,267963
69,16,2014-12-06,The Last: Naruto the Movie,317442
70,17,2014-12-13,Aikatsu! The Movie,348289
71,18,2014-12-13,Ao Haru Ride,283727
72,20,2014-12-20,Yo-kai Watch: The Movie,358651
73,21,2014-12-27,Princess Jellyfish,296071
74,0,2015-01-09,Psycho-Pass: The Movie,296917
75,3,2015-01-17,Again,353324
76,4,2015-01-17,Bali Big Brother,346039
77,5,2015-01-17,Wonderful World End,333854
78,7,2015-01-31,Joker Game,319669
79,8,2015-01-31,Maestro!,314838
80,9,2015-01-31,A Stitch of Life,340286
81,11,2015-02-07,Sukimasuki,345762
82,14,2015-02-14,La La La at Rock Bottom,318047
83,15,2015-02-14,The Mourner,339937
84,17,2015-02-20,The Case of Hana & Alice,311054
85,20,2015-03-06,Knights of Sidonia,427593
86,21,2015-03-07,Doraemon: Nobita's Space Heroes,350650
87,26,2015-03-14,The Lion Standing in the Wind,363425
88,27,2015-03-14,Strobe Edge,283831
89,29,2015-03-21,Assassination Classroom,349176
90,30,2015-03-21,Super Hero Taisen GP: Kamen Rider 3,355595
91,0,2015-04-01,April Fools,314829
92,1,2015-04-04,A Farewell to Jinu,338399
93,2,2015-04-04,"Persona 3 The Movie: No. 3, Falling Down",332169
94,3,2015-04-04,Tamayura ~Graduation Photo~,342126
95,7,2015-04-17,Vampire in Love,341443
96,8,2015-04-18,Dragon Ball Z: Resurrection 'F',303857
97,9,2015-04-25,Ryuzo and the Seven Henchmen,315841
98,10,2015-04-25,Parasyte: Part 2,282070
99,11,2015-04-25,Beyond the Boundary: I'll Be Here – Future,333622
100,16,2015-05-16,Akegarasu,382274
101,17,2015-05-16,Kakekomi,353760
102,18,2015-05-16,Deadman Inferno: Z Island,333072
103,19,2015-05-23,Initiation Love,345731
104,20,2015-05-30,Shinjuku Swan,262650
105,21,2015-05-30,Sweet Bean,319373
106,22,2015-06-06,Mother's Trees,738817
107,23,2015-06-06,Pieta in the Toilet,338401
108,24,2015-06-06,Prophecy,347483
109,25,2015-06-13,Love Live! The School Idol Movie,333623
110,26,2015-06-13,Our Little Sister,315846
111,28,2015-06-20,The Pearls of the Stone Man,397405
112,30,2015-06-20,Ghost in the Shell: The New Movie,334376
113,31,2015-06-20,Ju-On: The Final Curse,347946
114,1,2015-07-11,The Boy and the Beast,315465
115,4,2015-07-18,HERO,360635
116,5,2015-07-18,Pokémon the Movie: Hoopa and the Clash of Ages,350499
117,6,2015-07-25,Nowhere Girl,338033
118,7,2015-07-25,Brain Fluid Explosion Girl,374359
119,8,2015-08-01,Corpse Party,375509
120,9,2015-08-01,Attack on Titan,295830
121,10,2015-08-07,Boruto: Naruto the Movie,347201
122,11,2015-08-08,The Emperor in August,314837
123,12,2015-08-22,Date A Live: Mayuri Judgement,331061
124,13,2015-08-28,Yowamushi Pedal The Movie,334372
125,16,2015-09-04,The Virgin Psychics,350725
126,18,2015-09-05,Piece of Cake,314833
127,19,2015-09-12,The Big Bee,359592
128,21,2015-09-19,The Anthem of the Heart,364111
129,23,2015-09-26,Gonin Saga,363283
130,24,2015-09-26,Gassoh,354390
131,2,2015-10-02,The Empire of Corpses,342588
132,5,2015-10-17,Her Senior,391004
133,7,2015-10-24,Galaxy Turnpike,380246
134,8,2015-10-31,My Love Story!,356156
135,9,2015-11-07,Grasshopper,313219
136,10,2015-11-07,MOZU,360552
137,11,2015-11-07,Terminal,365949
138,12,2015-11-13,Harmony,357411
139,19,2015-12-05,125 Years Memory,402455
140,20,2015-12-05,High Speed! Free! Starting Days,357416
141,21,2015-12-05,Persona Non Grata,370680
142,22,2015-12-12,Orange,359171
143,23,2015-12-12,Nagasaki: Memories of My Son,380341
144,24,2015-12-19,Yo-kai Watch the Movie 2,412869
145,25,2015-12-23,Chibi Maruko-chan: A Boy from Italy,411614
146,0,2016-01-08,Kizumonogatari Part 1: Tekketsu,357786
147,4,2016-01-09,Pink and Gray,382258
148,9,2016-02-06,New Initial D the Movie Legend 3: Dream,372758
149,14,2016-02-27,Tantei Opera Milky Holmes the Movie: Milky Holmes' Counterattack,372762
150,23,2016-03-25,Assassination Classroom: Graduation,359628
151,7,2016-04-23,Sound! Euphonium: The Movie – Welcome to the Kitauji High School Concert Band,374056
152,8,2016-04-29,Terra Formars,330070
153,9,2016-04-29,Chihayafuru Part 2,408574
154,19,2016-06-04,The Kodais,391642
155,20,2016-06-04,Evergreen Love,404785
156,24,2016-06-18,Mars,429310
157,6,2016-07-29,Shin Godzilla,315011
158,7,2016-07-30,Corpse Party Book of Shadows,433640
159,10,2016-08-19,Kizumonogatari Part 2: Nekketsu,362584
160,12,2016-08-26,Your Name,372058
161,2,2016-10-08,My Dad and Mr. Ito,443189
162,3,2016-10-14,The Long Excuse,391804
163,4,2016-10-14,Gantz: O,396263
164,6,2016-10-15,Zegapain ADP,412382
165,8,2016-10-29,Death Note: Light Up the New World,382272
166,15,2016-11-25,Itazura na Kiss the Movie ~High School-Hen~,416252
167,16,2016-11-26,Shippu Rondo,417817
168,22,2016-12-23,Pop in Q,415283
169,23,2016-12-23,The Mole Song: Hong Kong Capriccio,417413
170,0,2017-01-06,Kizumonogatari Part 3: Reiketsu,362585
171,2,2017-01-14,Honnōji Hotel,469261
172,3,2017-01-14,Chain Chronicle ~Light of Haecceitas~,428294
173,4,2017-01-21,Black Butler: Book of the Atlantic,432131
174,7,2017-01-27,Itazura na Kiss the Movie 2 ~Campus-Hen~,438657
175,8,2017-02-03,Saki,433045
176,9,2017-02-03,Genocidal Organ,357407
177,13,2017-02-11,Ao Oni The Animation,432130
178,17,2017-02-25,Kyō no Kira-kun,438640
179,18,2017-02-25,Close-Knit,428733
180,22,2017-03-11,"Let's Go, Jets!",434236
181,27,2017-03-18,Kuroko's Basketball The Movie: Last Game,428707
182,28,2017-03-24,Daytime Shooting Star,433950
183,0,2017-04-01,Ankoku Joshi,448514
184,1,2017-04-07,"Night Is Short, Walk On Girl",430214
185,9,2017-05-03,LAST COP The Movie,433124
186,19,2017-05-26,A Beautiful Star,449225
187,20,2017-05-27,Radiance,444428
188,24,2017-06-17,The Irregular at Magic High School: The Movie – The Girl Who Summons the Stars,431821
189,25,2017-06-30,My Brother Loves Me Too Much,465365
190,2,2017-07-14,Gintama,432985
191,6,2017-07-28,Let Me Eat Your Pancreas,449132
192,8,2017-08-04,JoJo's Bizarre Adventure: Diamond Is Unbreakable Chapter I,431572
193,10,2017-08-18,Fireworks,431819
194,12,2017-08-25,Kimi no Koe o Todoketai,461078
195,13,2017-08-26,Sekigahara,455954
196,15,2017-09-01,Tori Girl!,449136
197,21,2017-09-22,Asahinagu,508524
198,25,2017-09-30,Sound! Euphonium: The Movie – May the Melody Reach You!,460400
199,3,2017-10-13,Yowamushi Pedal: Re:GENERATION!,786085
200,10,2017-11-03,Hyouka: Forbidden Secrets,437619
201,11,2017-11-03,The Last Recipe,458909
202,19,2017-12-01,Fullmetal Alchemist,426285
203,23,2017-12-09,Girls und Panzer das Finale: Part 1,474659
204,0,2018-01-05,We Make Antiques!,511977
205,1,2018-01-06,"Love, Chunibyo & Other Delusions! Take on Me",460399
206,3,2018-01-13,Attack on Titan: The Roar of Awakening,492999
207,5,2018-01-13,Evil and the Mask,499752
208,11,2018-02-03,The Scythian Lamb,418109
209,12,2018-02-09,Macross Delta the Movie: Passionate Walkūre,496349
210,13,2018-02-10,Color Me True,486266
211,15,2018-02-16,River's Edge,487358
212,16,2018-02-17,Sunny 32,505209
213,18,2018-02-24,Maquia: When the Promised Flower Blooms,476292
214,19,2018-02-24,Infini-T Force,476294
215,20,2018-03-03,Principal!,557080
216,21,2018-03-03,Bungo Stray Dogs: Dead Apple,483455
217,22,2018-03-03,Doraemon the Movie: Nobita's Treasure Island,495925
218,23,2018-03-10,Kids on the Slope,482121
219,24,2018-03-10,"Last Winter, We Parted",529865
220,25,2018-03-10,Sakura Guardian in the North,489892
221,26,2018-03-10,Ultraman Geed The Movie: Connect the Wishes!,545582
222,27,2018-03-17,Chihayafuru Part 3,485114
223,29,2018-03-21,Laughing Under the Clouds,438526
224,0,2018-04-06,The Bastard and the Beautiful World,516847
225,1,2018-04-07,Servamp: Alice in the Garden,492715
226,2,2018-04-13,Detective Conan: Zero the Enforcer,493006
227,3,2018-04-13,Crayon Shin-chan: Burst Serving! Kung Fu Boys ~Ramen Rebellion~,507562
228,6,2018-04-27,My Little Monster,507612
229,7,2018-04-27,Marmalade Boy,521049
230,8,2018-05-04,Laplace's Witch,489891
231,9,2018-05-05,PriPara and Kiratto Pri Chan the Movie!,752976
232,10,2018-05-11,Love × Doc,564341
233,12,2018-05-12,The Blood of Wolves,474538
234,14,2018-05-18,Godzilla: City on the Edge of Battle,492719
235,15,2018-05-19,Kamen Rider Amazons the Movie: The Last Judgement,508830
236,16,2018-05-25,What a Wonderful Family 3!,500372
237,17,2018-05-25,My Friend: A,507648
238,18,2018-05-25,After the Rain,520576
239,21,2018-06-01,Over Drive,517380
240,22,2018-06-01,50 First Kiss,520951
241,23,2018-06-02,Peacemaker Kurogane,483456
242,24,2018-06-08,A Forest of Wool and Steel,456065
243,26,2018-06-09,Life in Overtime,526375
244,27,2018-06-15,Recall,494195
245,28,2018-06-22,Yakiniku Dragon,499194
246,31,2018-06-23,Missions of Love,577974
247,32,2018-06-30,Punk Samurai Slash Down!,525150
248,0,2018-07-06,Rainbow Days,494082
249,1,2018-07-07,"You, Your, Yours",538233
250,2,2018-07-13,Pokémon the Movie: The Power of Us,494407
251,3,2018-07-20,Bleach,420426
252,5,2018-07-27,Code BLUE The Movie,497333
253,6,2018-08-01,Sensei Kunshu,527281
254,7,2018-08-01,Ao-Natsu: Blue Summer,512343
255,8,2018-08-03,My Hero Academia: Two Heroes,505262
256,9,2018-08-04,Kamen Rider Build the Movie: Be The One,543094
257,11,2018-08-17,Penguin Highway,508422
258,13,2018-08-18,The Seven Deadly Sins the Movie: Prisoners of the Sky,507569
259,14,2018-08-24,Killing for the Prosecutions,517373
260,15,2018-08-24,Modest Heroes,514710
261,16,2018-08-31,Sunny+,517065
262,17,2018-09-01,I Want to Eat Your Pancreas,504253
263,20,2018-09-07,Kasane,514879
264,21,2018-09-07,"Shottan, The Miracle",482753
265,22,2018-09-14,Hibiki,545143
266,25,2018-09-21,"Cafe Funiculì, Funiculà",526384
267,26,2018-09-21,My Dad is a Heel Wrestler!,525830
268,27,2018-09-28,Samurai's Promise,459422
269,28,2018-09-29,Natsume's Book of Friends the Movie: Tied to the Temporal World,507411
270,0,2018-10-05,You Are the Apple of My Eye,527280
271,1,2018-10-05,Monster Strike the Movie: Sora no Kanata,550085
272,3,2018-10-05,Perfect World,546794
273,4,2018-10-12,Lock-On Love!,519654
274,5,2018-10-12,"LOUDER!: Can't Hear What You're Singin', Wimp!",523750
275,6,2018-10-13,Every Day A Good Day,537552
276,7,2018-10-19,"It's Boring Here, Pick Me Up",515761
277,9,2018-10-19,Magical Girl Lyrical Nanoha: Detonation,547912
278,10,2018-10-19,Million Dollar Man,509351
279,11,2018-10-26,The Travelling Cat Chronicles,512340
280,12,2018-10-26,Oz Land,544610
281,14,2018-11-02,Stolen Identity,537755
